Date,FOCPX
10/1/2012,6.158
10/2/2012,6.17
10/3/2012,6.193
10/4/2012,6.248
10/5/2012,6.207
10/8/2012,6.164
10/9/2012,6.061
10/10/2012,6.029
10/11/2012,6.041
10/12/2012,6.028
10/15/2012,6.064
10/16/2012,6.157
10/17/2012,6.153
10/18/2012,6.061
10/19/2012,5.921
10/22/2012,5.932
10/23/2012,5.89
10/24/2012,5.891
10/25/2012,5.881
10/26/2012,5.849
10/29/2012,5.849
10/30/2012,5.849
10/31/2012,5.85
11/1/2012,5.931
11/2/2012,5.829
11/5/2012,5.894
11/6/2012,5.894
11/7/2012,5.751
11/8/2012,5.654
11/9/2012,5.645
11/12/2012,5.658
11/13/2012,5.63
11/14/2012,5.569
11/15/2012,5.541
11/16/2012,5.594
11/19/2012,5.743
11/20/2012,5.754
11/21/2012,5.791
11/23/2012,5.856
11/26/2012,5.903
11/27/2012,5.901
11/28/2012,5.986
11/29/2012,6.041
11/30/2012,6.033
12/3/2012,6.014
12/4/2012,6.014
12/5/2012,5.95
12/6/2012,5.969
12/7/2012,5.956
12/10/2012,5.977
12/11/2012,6.064
12/12/2012,6.065
12/13/2012,6.031
12/14/2012,5.973
12/17/2012,6.05
12/18/2012,6.151
12/19/2012,6.137
12/20/2012,6.139
12/21/2012,6.075
12/24/2012,6.074
12/26/2012,6.02
12/27/2012,5.992
12/28/2012,5.932
12/31/2012,6.059
1/2/2013,6.222
1/3/2013,6.191
1/4/2013,6.206
1/7/2013,6.194
1/8/2013,6.15
1/9/2013,6.173
1/10/2013,6.202
1/11/2013,6.223
1/14/2013,6.173
1/15/2013,6.157
1/16/2013,6.177
1/17/2013,6.212
1/18/2013,6.201
1/22/2013,6.225
1/23/2013,6.264
1/24/2013,6.241
1/25/2013,6.301
1/28/2013,6.318
1/29/2013,6.284
1/30/2013,6.259
1/31/2013,6.285
2/1/2013,6.355
2/4/2013,6.256
2/5/2013,6.334
2/6/2013,6.37
2/7/2013,6.356
2/8/2013,6.408
2/11/2013,6.388
2/12/2013,6.381
2/13/2013,6.396
2/14/2013,6.432
2/15/2013,6.419
2/19/2013,6.492
2/20/2013,6.376
2/21/2013,6.295
2/22/2013,6.365
2/25/2013,6.259
2/26/2013,6.288
2/27/2013,6.335
2/28/2013,6.312
3/1/2013,6.342
3/4/2013,6.373
3/5/2013,6.435
3/6/2013,6.447
3/7/2013,6.498
3/8/2013,6.518
3/11/2013,6.563
3/12/2013,6.557
3/13/2013,6.532
3/14/2013,6.545
3/15/2013,6.513
3/18/2013,6.487
3/19/2013,6.442
3/20/2013,6.49
3/21/2013,6.441
3/22/2013,6.443
3/25/2013,6.431
3/26/2013,6.455
3/27/2013,6.481
3/28/2013,6.491
4/1/2013,6.459
4/2/2013,6.476
4/3/2013,6.386
4/4/2013,6.415
4/5/2013,6.386
4/8/2013,6.413
4/9/2013,6.431
4/10/2013,6.559
4/11/2013,6.572
4/12/2013,6.556
4/15/2013,6.4
4/16/2013,6.514
4/17/2013,6.413
4/18/2013,6.327
4/19/2013,6.411
4/22/2013,6.455
4/23/2013,6.542
4/24/2013,6.543
4/25/2013,6.618
4/26/2013,6.607
4/29/2013,6.685
4/30/2013,6.724
5/1/2013,6.655
5/2/2013,6.759
5/3/2013,6.811
5/6/2013,6.841
5/7/2013,6.8
5/8/2013,6.886
5/9/2013,6.928
5/10/2013,7.02
5/13/2013,7.065
5/14/2013,7.15
5/15/2013,7.131
5/16/2013,7.108
5/17/2013,7.181
5/20/2013,7.17
5/21/2013,7.171
5/22/2013,7.068
5/23/2013,7.079
5/24/2013,7.071
5/28/2013,7.126
5/29/2013,7.081
5/30/2013,7.153
