Date,GCGIX
10/1/2012,14.94
10/2/2012,14.96
10/3/2012,15.07
10/4/2012,15.15
10/5/2012,15.11
10/8/2012,15.04
10/9/2012,14.86
10/10/2012,14.79
10/11/2012,14.76
10/12/2012,14.74
10/15/2012,14.86
10/16/2012,15.04
10/17/2012,15.03
10/18/2012,14.94
10/19/2012,14.68
10/22/2012,14.72
10/23/2012,14.53
10/24/2012,14.48
10/25/2012,14.51
10/26/2012,14.49
10/31/2012,14.48
11/1/2012,14.65
11/2/2012,14.47
11/5/2012,14.53
11/6/2012,14.66
11/7/2012,14.37
11/8/2012,14.19
11/9/2012,14.24
11/12/2012,14.26
11/13/2012,14.21
11/14/2012,14
11/15/2012,13.96
11/16/2012,14.04
11/19/2012,14.35
11/20/2012,14.38
11/21/2012,14.44
11/23/2012,14.63
11/26/2012,14.61
11/27/2012,14.55
11/28/2012,14.65
11/29/2012,14.74
11/30/2012,14.7
12/3/2012,14.65
12/4/2012,14.6
12/5/2012,14.28
12/6/2012,14.36
12/7/2012,14.37
12/10/2012,14.39
12/11/2012,14.49
12/12/2012,14.49
12/13/2012,14.41
12/14/2012,14.34
12/17/2012,14.51
12/18/2012,14.66
12/19/2012,14.53
12/20/2012,14.58
12/21/2012,14.43
12/24/2012,14.39
12/26/2012,14.3
12/27/2012,14.32
12/28/2012,14.17
12/31/2012,14.44
1/2/2013,14.85
1/3/2013,14.82
1/4/2013,14.85
1/7/2013,14.82
1/8/2013,14.79
1/9/2013,14.87
1/10/2013,14.96
1/11/2013,14.96
1/14/2013,14.93
1/15/2013,14.94
1/16/2013,14.94
1/17/2013,15.04
1/18/2013,15.07
1/22/2013,15.11
1/23/2013,15.16
1/24/2013,15.11
1/25/2013,15.18
1/28/2013,15.14
1/29/2013,15.2
1/30/2013,15.16
1/31/2013,15.15
2/1/2013,15.28
2/4/2013,15.11
2/5/2013,15.26
2/6/2013,15.28
2/7/2013,15.27
2/8/2013,15.41
2/11/2013,15.39
2/12/2013,15.35
2/13/2013,15.37
2/14/2013,15.39
2/15/2013,15.4
2/19/2013,15.47
2/20/2013,15.24
2/21/2013,15.13
2/22/2013,15.27
2/25/2013,15.02
2/26/2013,15.08
2/27/2013,15.27
2/28/2013,15.28
3/1/2013,15.31
3/4/2013,15.4
3/5/2013,15.55
3/6/2013,15.55
3/7/2013,15.58
3/8/2013,15.67
3/11/2013,15.71
3/12/2013,15.69
3/13/2013,15.71
3/14/2013,15.77
3/15/2013,15.74
3/18/2013,15.68
3/19/2013,15.65
3/20/2013,15.79
3/21/2013,15.67
3/22/2013,15.79
3/25/2013,15.72
3/26/2013,15.86
3/27/2013,15.86
3/28/2013,15.94
4/1/2013,15.87
4/2/2013,15.92
4/3/2013,15.74
4/4/2013,15.79
4/5/2013,15.71
4/8/2013,15.82
4/9/2013,15.86
4/10/2013,16.08
4/11/2013,16.15
4/12/2013,16.12
4/15/2013,15.72
4/16/2013,15.98
4/17/2013,15.75
4/18/2013,15.64
4/19/2013,15.78
4/22/2013,15.89
4/23/2013,16.06
4/24/2013,16.04
4/25/2013,16.16
4/26/2013,16.13
4/29/2013,16.27
4/30/2013,16.33
5/1/2013,16.14
5/2/2013,16.35
5/3/2013,16.56
5/6/2013,16.6
5/7/2013,16.67
5/8/2013,16.73
5/9/2013,16.68
5/10/2013,16.8
5/13/2013,16.81
5/14/2013,17.02
5/15/2013,17.1
5/16/2013,16.96
5/17/2013,17.15
5/20/2013,17.13
5/21/2013,17.15
5/22/2013,17.01
5/23/2013,16.98
5/24/2013,16.95
5/28/2013,17.07
5/29/2013,16.92
5/30/2013,16.99
5/31/2013,16.79
6/3/2013,16.81
6/4/2013,16.69
6/5/2013,16.44
6/6/2013,16.61
6/7/2013,16.84
6/10/2013,16.8
6/11/2013,16.66
6/12/2013,16.53
6/13/2013,16.78
6/14/2013,16.68
6/17/2013,16.79
6/18/2013,16.91
6/19/2013,16.68
6/20/2013,16.27
6/21/2013,16.23
6/24/2013,16.01
6/25/2013,16.16
6/26/2013,16.31
6/27/2013,16.42
6/28/2013,16.36
7/1/2013,16.49
7/2/2013,16.45
7/3/2013,16.45
7/5/2013,16.63
7/8/2013,16.72
7/9/2013,16.84
7/10/2013,16.92
7/11/2013,17.18
7/12/2013,17.25
7/15/2013,17.26
7/16/2013,17.2
7/17/2013,17.25
7/18/2013,17.28
7/19/2013,17.22
7/22/2013,17.28
7/23/2013,17.23
7/24/2013,17.22
7/25/2013,17.29
7/26/2013,17.29
7/29/2013,17.24
7/30/2013,17.32
7/31/2013,17.36
8/1/2013,17.62
8/2/2013,17.65
8/5/2013,17.65
8/6/2013,17.51
8/7/2013,17.44
8/8/2013,17.53
8/9/2013,17.49
8/12/2013,17.49
8/13/2013,17.51
8/14/2013,17.42
8/15/2013,17.14
8/16/2013,17.1
8/19/2013,17.03
8/20/2013,17.14
8/21/2013,17.07
8/22/2013,17.21
8/23/2013,17.26
8/26/2013,17.23
8/27/2013,16.92
8/28/2013,16.95
8/29/2013,17.06
8/30/2013,16.95
9/3/2013,17.03
9/4/2013,17.21
9/5/2013,17.27
9/6/2013,17.29
9/9/2013,17.48
9/10/2013,17.6
9/11/2013,17.66
9/12/2013,17.6
9/13/2013,17.64
9/16/2013,17.74
9/17/2013,17.83
9/18/2013,18.03
9/19/2013,18.05
9/20/2013,17.92
9/23/2013,17.83
9/24/2013,17.8
9/25/2013,17.73
9/26/2013,17.83
9/27/2013,17.77
9/30/2013,17.71
10/1/2013,17.88
10/2/2013,17.86
10/3/2013,17.7
10/4/2013,17.82
10/7/2013,17.67
10/8/2013,17.4
10/9/2013,17.41
10/10/2013,17.78
10/11/2013,17.89
10/14/2013,17.97
10/15/2013,17.86
10/16/2013,18.09
10/17/2013,18.2
10/18/2013,18.38
10/21/2013,18.38
10/22/2013,18.51
10/23/2013,18.52
10/24/2013,18.6
10/25/2013,18.69
10/28/2013,18.67
10/29/2013,18.78
10/30/2013,18.66
10/31/2013,18.58
11/1/2013,18.62
11/4/2013,18.69
11/5/2013,18.66
11/6/2013,18.7
11/7/2013,18.42
11/8/2013,18.62
11/11/2013,18.63
11/12/2013,18.63
11/13/2013,18.82
11/14/2013,18.9
11/15/2013,18.99
11/18/2013,18.88
11/19/2013,18.82
11/20/2013,18.71
11/21/2013,18.87
11/22/2013,18.98
11/25/2013,18.95
11/26/2013,18.97
11/27/2013,19.04
11/29/2013,19.05
12/2/2013,19.02
12/3/2013,18.96
12/4/2013,18.95
12/5/2013,18.71
12/6/2013,18.91
12/9/2013,18.96
12/10/2013,18.94
12/11/2013,18.74
12/12/2013,18.68
12/13/2013,18.69
12/16/2013,18.79
12/17/2013,18.75
12/18/2013,19.04
12/19/2013,19.02
12/20/2013,19.14
12/23/2013,19.27
12/24/2013,19.33
12/26/2013,19.42
12/27/2013,19.4
12/30/2013,19.41
12/31/2013,19.49
1/2/2014,19.35
1/3/2014,19.35
1/6/2014,19.26
1/7/2014,19.38
1/8/2014,19.45
1/9/2014,19.47
1/10/2014,19.52
1/13/2014,19.27
1/14/2014,19.48
1/15/2014,19.56
1/16/2014,19.58
1/17/2014,19.51
1/21/2014,19.63
1/22/2014,19.7
1/23/2014,19.52
1/24/2014,19.06
1/27/2014,18.93
1/28/2014,19.05
1/29/2014,18.83
1/30/2014,19.06
1/31/2014,18.98
2/3/2014,18.5
2/4/2014,18.63
2/5/2014,18.61
2/6/2014,18.84
2/7/2014,19.14
2/10/2014,19.16
2/11/2014,19.38
2/12/2014,19.46
2/13/2014,19.58
2/14/2014,19.64
2/18/2014,19.69
2/19/2014,19.54
2/20/2014,19.7
2/21/2014,19.68
2/24/2014,19.76
2/25/2014,19.79
2/26/2014,19.84
2/27/2014,19.96
2/28/2014,19.98
3/3/2014,19.83
3/4/2014,20.14
3/5/2014,20.15
3/6/2014,20.15
3/7/2014,20.12
3/10/2014,20.13
3/11/2014,20.04
3/12/2014,20.05
3/13/2014,19.77
3/14/2014,19.74
3/17/2014,19.94
3/18/2014,20.12
3/19/2014,19.98
3/20/2014,20.05
3/21/2014,19.89
3/24/2014,19.79
3/25/2014,19.89
3/26/2014,19.77
3/27/2014,19.69
3/28/2014,19.75
3/31/2014,19.97
4/1/2014,20.2
4/2/2014,20.26
4/3/2014,20.21
4/4/2014,19.84
4/7/2014,19.61
4/8/2014,19.67
4/9/2014,19.99
4/10/2014,19.47
4/11/2014,19.23
4/14/2014,19.38
4/15/2014,19.49
4/16/2014,19.72
4/17/2014,19.78
4/21/2014,19.92
4/22/2014,20.04
4/23/2014,20
4/24/2014,20.02
4/25/2014,19.82
4/28/2014,19.93
4/29/2014,20.03
4/30/2014,20.1
5/1/2014,20.14
5/2/2014,20.12
5/5/2014,20.14
5/6/2014,19.95
5/7/2014,20.09
5/8/2014,20.07
5/9/2014,20.15
5/12/2014,20.39
5/13/2014,20.38
5/14/2014,20.25
5/15/2014,20.06
5/16/2014,20.17
5/19/2014,20.27
5/20/2014,20.13
5/21/2014,20.28
5/22/2014,20.35
5/23/2014,20.48
5/27/2014,20.61
5/28/2014,20.61
5/29/2014,20.74
5/30/2014,20.77
6/2/2014,20.8
6/3/2014,20.79
6/4/2014,20.84
6/5/2014,20.97
6/6/2014,21.06
6/9/2014,21.04
6/10/2014,21.02
6/11/2014,20.97
6/12/2014,20.78
6/13/2014,20.85
6/16/2014,20.87
6/17/2014,20.92
6/18/2014,21.06
6/19/2014,21.1
6/20/2014,21.14
6/23/2014,21.12
6/24/2014,21
6/25/2014,21.12
6/26/2014,21.11
6/27/2014,21.17
6/30/2014,21.16
7/1/2014,21.37
7/2/2014,21.42
7/3/2014,21.55
7/7/2014,21.44
7/8/2014,21.28
7/9/2014,21.39
7/10/2014,21.32
7/11/2014,21.41
7/14/2014,21.55
7/15/2014,21.41
7/16/2014,21.52
7/17/2014,21.2
7/18/2014,21.49
7/21/2014,21.42
7/22/2014,21.62
7/23/2014,21.7
7/24/2014,21.71
7/25/2014,21.62
7/28/2014,21.61
7/29/2014,21.52
7/30/2014,21.52
7/31/2014,21.08
8/1/2014,21.02
8/4/2014,21.19
8/5/2014,21
8/6/2014,21
8/7/2014,20.85
8/8/2014,21.08
8/11/2014,21.19
8/12/2014,21.15
8/13/2014,21.34
8/14/2014,21.43
8/15/2014,21.46
8/18/2014,21.65
8/19/2014,21.77
8/20/2014,21.81
8/21/2014,21.86
8/22/2014,21.86
8/25/2014,21.98
8/26/2014,22.01
8/27/2014,22.03
8/28/2014,21.99
8/29/2014,22.07
9/2/2014,22.08
9/3/2014,22.04
9/4/2014,21.96
9/5/2014,22.05
9/8/2014,22.01
9/9/2014,21.87
9/10/2014,22
9/11/2014,21.99
9/12/2014,21.85
9/15/2014,21.78
9/16/2014,21.99
9/17/2014,21.98
9/18/2014,22.11
9/19/2014,22.05
9/22/2014,21.86
9/23/2014,21.74
9/24/2014,21.95
9/25/2014,21.55
9/26/2014,21.75
9/29/2014,21.69
9/30/2014,21.65
10/1/2014,21.32
10/2/2014,21.3
10/3/2014,21.54
10/6/2014,21.47
10/7/2014,21.15
10/8/2014,21.56
10/9/2014,21.08
10/10/2014,20.75
10/13/2014,20.32
10/14/2014,20.34
10/15/2014,20.22
10/16/2014,20.2
10/17/2014,20.48
10/20/2014,20.77
10/21/2014,21.28
10/22/2014,21.1
10/23/2014,21.4
10/24/2014,21.59
10/27/2014,21.59
10/28/2014,21.86
10/29/2014,21.81
10/30/2014,21.93
10/31/2014,22.22
11/3/2014,22.27
11/4/2014,22.2
11/5/2014,22.24
11/6/2014,22.37
11/7/2014,22.36
11/10/2014,22.43
11/11/2014,22.47
11/12/2014,22.49
11/13/2014,22.56
11/14/2014,22.56
11/17/2014,22.62
11/18/2014,22.75
11/19/2014,22.72
11/20/2014,22.75
11/21/2014,22.8
11/24/2014,22.93
11/25/2014,22.93
11/26/2014,23.04
11/28/2014,23.1
12/1/2014,22.87
12/2/2014,23.04
12/3/2014,23.15
12/4/2014,22.92
12/5/2014,22.91
12/8/2014,22.75
12/9/2014,22.76
12/10/2014,22.38
12/11/2014,22.52
12/12/2014,22.21
12/15/2014,22.11
12/16/2014,21.87
12/17/2014,22.27
12/18/2014,22.78
12/19/2014,22.91
12/22/2014,22.91
12/23/2014,22.9
12/24/2014,22.94
12/26/2014,23.07
12/29/2014,23.08
12/30/2014,22.97
12/31/2014,22.75
1/2/2015,22.74
1/5/2015,22.36
1/6/2015,22.13
1/7/2015,22.38
1/8/2015,22.82
1/9/2015,22.61
1/12/2015,22.46
1/13/2015,22.39
1/14/2015,22.29
1/15/2015,22.04
1/16/2015,22.38
1/20/2015,22.48
1/21/2015,22.55
1/22/2015,22.98
1/23/2015,22.96
1/26/2015,23
1/27/2015,22.68
1/28/2015,22.47
1/29/2015,22.71
1/30/2015,22.43
2/2/2015,22.65
2/3/2015,22.93
2/4/2015,22.87
2/5/2015,23.09
2/6/2015,23.02
2/9/2015,22.91
2/10/2015,23.19
2/11/2015,23.23
2/12/2015,23.39
2/13/2015,23.53
2/17/2015,23.55
2/18/2015,23.65
2/19/2015,23.66
2/20/2015,23.83
2/23/2015,23.87
2/24/2015,23.92
2/25/2015,23.84
2/26/2015,23.87
2/27/2015,23.78
3/2/2015,23.93
3/3/2015,23.82
3/4/2015,23.75
3/5/2015,23.74
