Date,VHIAX
10/1/2012,10.06
10/2/2012,10.07
10/3/2012,10.13
10/4/2012,10.18
10/5/2012,10.16
10/8/2012,10.08
10/9/2012,9.95
10/10/2012,9.88
10/11/2012,9.89
10/12/2012,9.87
10/15/2012,9.95
10/16/2012,10.09
10/17/2012,10.11
10/18/2012,10.05
10/19/2012,9.87
10/22/2012,9.87
10/23/2012,9.79
10/24/2012,9.76
10/25/2012,9.73
10/26/2012,9.72
10/31/2012,9.72
11/1/2012,9.88
11/2/2012,9.76
11/5/2012,9.81
11/6/2012,9.87
11/7/2012,9.66
11/8/2012,9.5
11/9/2012,9.51
11/12/2012,9.55
11/13/2012,9.53
11/14/2012,9.4
11/15/2012,9.37
11/16/2012,9.44
11/19/2012,9.66
11/20/2012,9.67
11/21/2012,9.7
11/23/2012,9.81
11/26/2012,9.82
11/27/2012,9.78
11/28/2012,9.85
11/29/2012,9.93
11/30/2012,9.92
12/3/2012,9.87
12/4/2012,9.83
12/5/2012,9.78
12/6/2012,9.83
12/7/2012,9.8
12/10/2012,9.8
12/11/2012,9.9
12/12/2012,9.89
12/13/2012,9.77
12/14/2012,9.7
12/17/2012,9.85
12/18/2012,9.99
12/19/2012,9.93
12/20/2012,9.97
12/21/2012,9.89
12/24/2012,9.87
12/26/2012,9.79
12/27/2012,9.78
12/28/2012,9.7
12/31/2012,9.89
1/2/2013,10.15
1/3/2013,10.12
1/4/2013,10.15
1/7/2013,10.14
1/8/2013,10.12
1/9/2013,10.19
1/10/2013,10.23
1/11/2013,10.25
1/14/2013,10.22
1/15/2013,10.23
1/16/2013,10.24
1/17/2013,10.3
1/18/2013,10.32
1/22/2013,10.37
1/23/2013,10.41
1/24/2013,10.42
1/25/2013,10.47
1/28/2013,10.45
1/29/2013,10.46
1/30/2013,10.4
1/31/2013,10.42
2/1/2013,10.52
2/4/2013,10.36
2/5/2013,10.46
2/6/2013,10.48
2/7/2013,10.46
2/8/2013,10.58
2/11/2013,10.56
2/12/2013,10.57
2/13/2013,10.56
2/14/2013,10.59
2/15/2013,10.58
2/19/2013,10.63
2/20/2013,10.44
2/21/2013,10.32
2/22/2013,10.47
2/25/2013,10.27
2/26/2013,10.33
2/27/2013,10.49
2/28/2013,10.5
3/1/2013,10.53
3/4/2013,10.59
3/5/2013,10.71
3/6/2013,10.72
3/7/2013,10.71
3/8/2013,10.78
3/11/2013,10.8
3/12/2013,10.77
3/13/2013,10.81
3/14/2013,10.84
3/15/2013,10.8
3/18/2013,10.78
3/19/2013,10.73
3/20/2013,10.83
3/21/2013,10.75
3/22/2013,10.82
3/25/2013,10.79
3/26/2013,10.86
3/27/2013,10.87
3/28/2013,10.94
4/1/2013,10.86
4/2/2013,10.88
4/3/2013,10.73
4/4/2013,10.75
4/5/2013,10.69
4/8/2013,10.77
4/9/2013,10.78
4/10/2013,10.93
4/11/2013,10.99
4/12/2013,10.96
4/15/2013,10.63
4/16/2013,10.82
4/17/2013,10.66
4/18/2013,10.54
4/19/2013,10.67
4/22/2013,10.74
4/23/2013,10.84
4/24/2013,10.82
4/25/2013,10.9
4/26/2013,10.86
4/29/2013,10.98
4/30/2013,11.02
5/1/2013,10.88
5/2/2013,11.04
5/3/2013,11.2
5/6/2013,11.25
5/7/2013,11.28
5/8/2013,11.32
5/9/2013,11.34
5/10/2013,11.45
5/13/2013,11.46
5/14/2013,11.62
5/15/2013,11.65
5/16/2013,11.64
5/17/2013,11.74
5/20/2013,11.71
5/21/2013,11.74
5/22/2013,11.58
5/23/2013,11.57
5/24/2013,11.59
5/28/2013,11.72
5/29/2013,11.68
5/30/2013,11.76
5/31/2013,11.63
6/3/2013,11.58
6/4/2013,11.45
6/5/2013,11.32
6/6/2013,11.44
6/7/2013,11.61
6/10/2013,11.62
6/11/2013,11.47
6/12/2013,11.34
6/13/2013,11.49
6/14/2013,11.44
6/17/2013,11.52
6/18/2013,11.63
6/19/2013,11.5
6/20/2013,11.22
6/21/2013,11.19
6/24/2013,11.05
6/25/2013,11.18
6/26/2013,11.3
6/27/2013,11.41
6/28/2013,11.4
7/1/2013,11.6
7/2/2013,11.6
7/3/2013,11.62
7/5/2013,11.77
7/8/2013,11.8
7/9/2013,11.89
7/10/2013,11.9
7/11/2013,12.07
7/12/2013,12.14
7/15/2013,12.13
7/16/2013,12.03
7/17/2013,12.08
7/18/2013,12.1
7/19/2013,12.12
7/22/2013,12.15
7/23/2013,12.08
7/24/2013,12.07
7/25/2013,12.16
7/26/2013,12.16
7/29/2013,12.1
7/30/2013,12.16
7/31/2013,12.21
8/1/2013,12.44
8/2/2013,12.49
8/5/2013,12.49
8/6/2013,12.44
8/7/2013,12.34
8/8/2013,12.4
8/9/2013,12.37
8/12/2013,12.38
8/13/2013,12.44
8/14/2013,12.36
8/15/2013,12.18
8/16/2013,12.19
8/19/2013,12.13
8/20/2013,12.21
8/21/2013,12.19
8/22/2013,12.33
8/23/2013,12.35
8/26/2013,12.37
8/27/2013,12.09
8/28/2013,12.14
8/29/2013,12.24
8/30/2013,12.14
9/3/2013,12.24
9/4/2013,12.36
9/5/2013,12.4
9/6/2013,12.42
9/9/2013,12.59
9/10/2013,12.68
9/11/2013,12.72
9/12/2013,12.69
9/13/2013,12.71
9/16/2013,12.73
9/17/2013,12.82
9/18/2013,12.99
9/19/2013,13.02
9/20/2013,12.94
9/23/2013,12.86
9/24/2013,12.9
9/25/2013,12.87
9/26/2013,12.96
9/27/2013,12.95
9/30/2013,12.93
10/1/2013,13.09
10/2/2013,13.09
10/3/2013,12.95
10/4/2013,13.08
10/7/2013,12.92
10/8/2013,12.6
10/9/2013,12.55
10/10/2013,12.88
10/11/2013,13
10/14/2013,13.06
10/15/2013,12.96
10/16/2013,13.13
10/17/2013,13.21
10/18/2013,13.38
10/21/2013,13.38
10/22/2013,13.43
10/23/2013,13.38
10/24/2013,13.46
10/25/2013,13.48
10/28/2013,13.42
10/29/2013,13.49
10/30/2013,13.37
10/31/2013,13.31
11/1/2013,13.3
11/4/2013,13.36
11/5/2013,13.38
11/6/2013,13.33
11/7/2013,13.06
11/8/2013,13.27
11/11/2013,13.3
11/12/2013,13.29
11/13/2013,13.43
11/14/2013,13.47
11/15/2013,13.56
11/18/2013,13.4
11/19/2013,13.34
11/20/2013,13.31
11/21/2013,13.48
11/22/2013,13.59
11/25/2013,13.58
11/26/2013,13.68
11/27/2013,13.71
11/29/2013,13.71
12/2/2013,13.68
12/3/2013,13.6
12/4/2013,13.59
12/5/2013,13.63
12/6/2013,13.74
12/9/2013,13.81
12/10/2013,13.79
12/11/2013,13.62
12/12/2013,12.98
12/13/2013,13.03
12/16/2013,13.13
12/17/2013,13.11
12/18/2013,13.29
12/19/2013,13.26
12/20/2013,13.42
12/23/2013,13.52
12/24/2013,13.55
12/26/2013,13.59
12/27/2013,13.53
12/30/2013,13.53
12/31/2013,13.61
1/2/2014,13.52
1/3/2014,13.52
1/6/2014,13.44
1/7/2014,13.54
1/8/2014,13.62
1/9/2014,13.63
1/10/2014,13.72
1/13/2014,13.43
1/14/2014,13.63
1/15/2014,13.69
1/16/2014,13.73
1/17/2014,13.7
1/21/2014,13.8
1/22/2014,13.88
1/23/2014,13.77
1/24/2014,13.38
1/27/2014,13.24
1/28/2014,13.4
1/29/2014,13.24
1/30/2014,13.46
1/31/2014,13.37
2/3/2014,13
2/4/2014,13.2
2/5/2014,13.13
2/6/2014,13.31
2/7/2014,13.55
2/10/2014,13.55
2/11/2014,13.67
2/12/2014,13.71
2/13/2014,13.87
2/14/2014,13.85
2/18/2014,13.95
2/19/2014,13.84
2/20/2014,13.97
2/21/2014,13.97
2/24/2014,14.09
2/25/2014,14.1
2/26/2014,14.13
2/27/2014,14.21
2/28/2014,14.15
3/3/2014,14.03
3/4/2014,14.29
3/5/2014,14.3
3/6/2014,14.27
3/7/2014,14.25
3/10/2014,14.21
3/11/2014,14.11
3/12/2014,14.16
3/13/2014,13.93
3/14/2014,13.9
3/17/2014,14.04
3/18/2014,14.2
3/19/2014,14.11
3/20/2014,14.13
3/21/2014,13.94
3/24/2014,13.76
3/25/2014,13.75
3/26/2014,13.52
3/27/2014,13.44
3/28/2014,13.48
3/31/2014,13.63
4/1/2014,13.87
4/2/2014,13.91
4/3/2014,13.73
4/4/2014,13.38
4/7/2014,13.15
4/8/2014,13.22
4/9/2014,13.51
4/10/2014,13.05
4/11/2014,12.84
4/14/2014,12.91
4/15/2014,12.99
4/16/2014,13.2
4/17/2014,13.25
4/21/2014,13.33
4/22/2014,13.54
4/23/2014,13.45
4/24/2014,13.47
4/25/2014,13.14
4/28/2014,13.06
4/29/2014,13.22
4/30/2014,13.31
5/1/2014,13.41
5/2/2014,13.42
5/5/2014,13.47
5/6/2014,13.27
5/7/2014,13.22
5/8/2014,13.13
5/9/2014,13.19
5/12/2014,13.45
5/13/2014,13.4
5/14/2014,13.26
5/15/2014,13.11
5/16/2014,13.2
5/19/2014,13.33
5/20/2014,13.22
5/21/2014,13.36
5/22/2014,13.48
5/23/2014,13.58
5/27/2014,13.75
5/28/2014,13.71
5/29/2014,13.75
5/30/2014,13.71
6/2/2014,13.72
6/3/2014,13.73
6/4/2014,13.79
6/5/2014,13.93
6/6/2014,14.01
6/9/2014,14.03
6/10/2014,14.04
6/11/2014,14.02
6/12/2014,13.87
6/13/2014,13.94
6/16/2014,13.97
6/17/2014,14.02
6/18/2014,14.12
6/19/2014,14.11
6/20/2014,14.16
6/23/2014,14.16
6/24/2014,14.06
6/25/2014,14.16
6/26/2014,14.15
6/27/2014,14.19
6/30/2014,14.24
7/1/2014,14.38
7/2/2014,14.36
7/3/2014,14.45
7/7/2014,14.29
7/8/2014,14.08
7/9/2014,14.17
7/10/2014,14.06
7/11/2014,14.11
7/14/2014,14.19
7/15/2014,14.06
7/16/2014,14.06
7/17/2014,13.87
7/18/2014,14.08
7/21/2014,14.08
7/22/2014,14.15
7/23/2014,14.2
7/24/2014,14.23
7/25/2014,14.14
7/28/2014,14.11
7/29/2014,14.06
7/30/2014,14.12
7/31/2014,13.82
8/1/2014,13.77
8/4/2014,13.91
8/5/2014,13.82
8/6/2014,13.81
8/7/2014,13.73
8/8/2014,13.88
8/11/2014,13.96
8/12/2014,13.92
8/13/2014,14.05
8/14/2014,14.14
8/15/2014,14.17
8/18/2014,14.33
8/19/2014,14.43
8/20/2014,14.47
8/21/2014,14.48
8/22/2014,14.51
8/25/2014,14.59
8/26/2014,14.64
8/27/2014,14.63
8/28/2014,14.58
8/29/2014,14.67
9/2/2014,14.74
9/3/2014,14.66
9/4/2014,14.61
9/5/2014,14.66
9/8/2014,14.66
9/9/2014,14.53
9/10/2014,14.63
9/11/2014,14.63
9/12/2014,14.53
9/15/2014,14.36
9/16/2014,14.5
9/17/2014,14.52
9/18/2014,14.63
9/19/2014,14.56
9/22/2014,14.36
9/23/2014,14.3
9/24/2014,14.47
9/25/2014,14.22
9/26/2014,14.33
9/29/2014,14.3
9/30/2014,14.2
10/1/2014,13.99
10/2/2014,14.04
10/3/2014,14.22
10/6/2014,14.15
10/7/2014,13.9
10/8/2014,14.16
10/9/2014,13.84
10/10/2014,13.48
10/13/2014,13.18
10/14/2014,13.23
10/15/2014,13.25
10/16/2014,13.37
10/17/2014,13.56
10/20/2014,13.72
10/21/2014,14.13
10/22/2014,13.98
10/23/2014,14.23
10/24/2014,14.31
10/27/2014,14.3
10/28/2014,14.52
10/29/2014,14.41
10/30/2014,14.53
10/31/2014,14.73
11/3/2014,14.68
11/4/2014,14.57
11/5/2014,14.58
11/6/2014,14.7
11/7/2014,14.68
11/10/2014,14.75
11/11/2014,14.77
11/12/2014,14.8
11/13/2014,14.75
11/14/2014,14.75
11/17/2014,14.66
11/18/2014,14.81
11/19/2014,14.75
11/20/2014,14.83
11/21/2014,14.88
11/24/2014,15
11/25/2014,15
11/26/2014,15.04
11/28/2014,14.97
12/1/2014,14.76
12/2/2014,14.84
12/3/2014,14.95
12/4/2014,14.98
12/5/2014,15.01
12/8/2014,14.87
12/9/2014,14.92
12/10/2014,14.65
12/11/2014,14.74
12/12/2014,14.02
12/15/2014,13.91
12/16/2014,13.7
12/17/2014,14.05
12/18/2014,14.36
12/19/2014,14.46
12/22/2014,14.42
12/23/2014,14.37
12/24/2014,14.4
12/26/2014,14.48
12/29/2014,14.5
12/30/2014,14.41
12/31/2014,14.33
1/2/2015,14.31
1/5/2015,14.07
1/6/2015,13.88
1/7/2015,14.07
1/8/2015,14.38
1/9/2015,14.29
1/12/2015,14.17
1/13/2015,14.11
1/14/2015,14.06
1/15/2015,13.82
1/16/2015,14.06
1/20/2015,14.15
1/21/2015,14.25
1/22/2015,14.47
1/23/2015,14.52
1/26/2015,14.61
1/27/2015,14.43
1/28/2015,14.29
1/29/2015,14.47
1/30/2015,14.33
2/2/2015,14.43
2/3/2015,14.6
2/4/2015,14.52
2/5/2015,14.67
2/6/2015,14.62
2/9/2015,14.55
2/10/2015,14.72
2/11/2015,14.75
2/12/2015,14.89
2/13/2015,14.98
2/17/2015,14.99
2/18/2015,15.02
2/19/2015,15.08
2/20/2015,15.2
2/23/2015,15.22
2/24/2015,15.23
2/25/2015,15.24
2/26/2015,15.28
2/27/2015,15.18
3/2/2015,15.38
3/3/2015,15.29
3/4/2015,15.23
3/5/2015,15.3
3/6/2015,15.1
3/9/2015,15.14
